epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,35.01320266723633,,,,,
0,99,,26.966039657592773,,,,,
0,149,,24.775619506835938,,,,,
0,199,,22.731613159179688,,,,,
0,249,,17.88334846496582,,,,,
0,299,,18.519067764282227,,,,,
0,349,,22.583173751831055,,,,,
0,399,,19.31780433654785,,,,,
0,449,,17.841732025146484,,,,,
0,499,,20.342844009399414,,,,,
0,549,,20.36935806274414,,,,,
0,599,,15.550464630126953,,,,,
0,649,,16.49443244934082,,,,,
0,699,,16.73576545715332,,,,,
0,749,,17.95821189880371,,,,,
0,799,,15.694977760314941,,,,,
0,849,,18.31954002380371,,,,,
0,899,,17.250450134277344,,,,,
0,949,,18.25935173034668,,,,,
0,999,,19.177345275878906,,,,,
0,1049,,16.099008560180664,,,,,
0,1099,,19.8393611907959,,,,,
0,1149,,17.933826446533203,,,,,
0,1199,,17.78520965576172,,,,,
0,1249,,13.707406044006348,,,,,
0,1299,,14.687370300292969,,,,,
0,1349,,18.134700775146484,,,,,
0,1399,,15.770733833312988,,,,,
0,1449,,17.65308952331543,,,,,
0,1499,,15.702522277832031,,,,,
0,1549,,18.3674259185791,,,,,
0,1599,,15.078914642333984,,,,,
0,1649,,16.58374786376953,,,,,
0,1699,,16.392187118530273,,,,,
0,1749,,15.95996379852295,,,,,
0,1799,,17.684505462646484,,,,,
0,1849,,15.048174858093262,,,,,
0,1899,,17.575225830078125,,,,,
0,1949,,17.97152328491211,,,,,
0,1999,,14.113078117370605,,,,,
0,2049,,15.674527168273926,,,,,
0,2099,,13.76060962677002,,,,,
0,2149,,16.6518497467041,,,,,
0,2199,,14.600440979003906,,,,,
0,2249,,14.059127807617188,,,,,
0,2299,,12.939209938049316,,,,,
0,2349,,15.543949127197266,,,,,
0,2399,,15.517251014709473,,,,,
0,2449,,14.878619194030762,,,,,
0,2499,,15.51562213897705,,,,,
0,2549,,16.189237594604492,,,,,
0,2599,,13.734477043151855,,,,,
0,2649,,13.222617149353027,,,,,
0,2699,,15.910588264465332,,,,,
0,2749,,14.426658630371094,,,,,
0,2799,,15.213711738586426,,,,,
0,2849,,12.997157096862793,,,,,
0,2899,,15.027583122253418,,,,,
0,2949,,17.268465042114258,,,,,
0,2972,,,7.738471508026123,0.5325762629508972,20.556407928466797,0.41502541303634644,7.738471508026123
0,2972,17.38222312927246,,,,,,
1,2999,,15.802207946777344,,,,,
1,3049,,14.863296508789062,,,,,
1,3099,,15.043522834777832,,,,,
1,3149,,13.842328071594238,,,,,
1,3199,,16.571189880371094,,,,,
1,3249,,14.96152400970459,,,,,
1,3299,,15.99375057220459,,,,,
1,3349,,14.333399772644043,,,,,
1,3399,,14.40982437133789,,,,,
1,3449,,13.351061820983887,,,,,
1,3499,,15.366183280944824,,,,,
1,3549,,13.386825561523438,,,,,
1,3599,,13.953022956848145,,,,,
1,3649,,15.173304557800293,,,,,
1,3699,,14.980395317077637,,,,,
1,3749,,15.658454895019531,,,,,
1,3799,,14.166367530822754,,,,,
1,3849,,12.8043794631958,,,,,
1,3899,,12.302314758300781,,,,,
1,3949,,13.688934326171875,,,,,
1,3999,,13.1942777633667,,,,,
1,4049,,11.952542304992676,,,,,
1,4099,,13.77074909210205,,,,,
1,4149,,14.824286460876465,,,,,
1,4199,,12.562389373779297,,,,,
1,4249,,13.466370582580566,,,,,
1,4299,,13.298961639404297,,,,,
1,4349,,11.567402839660645,,,,,
1,4399,,14.360186576843262,,,,,
1,4449,,15.671101570129395,,,,,
1,4499,,13.388900756835938,,,,,
1,4549,,13.682726860046387,,,,,
1,4599,,13.95984172821045,,,,,
1,4649,,12.785265922546387,,,,,
1,4699,,13.13104248046875,,,,,
1,4749,,14.510417938232422,,,,,
1,4799,,11.477951049804688,,,,,
1,4849,,14.416062355041504,,,,,
1,4899,,14.392163276672363,,,,,
1,4949,,13.783011436462402,,,,,
1,4999,,11.582673072814941,,,,,
1,5049,,14.680313110351562,,,,,
1,5099,,16.28431510925293,,,,,
1,5149,,12.801627159118652,,,,,
1,5199,,13.890464782714844,,,,,
1,5249,,14.393798828125,,,,,
1,5299,,12.985560417175293,,,,,
1,5349,,14.59459400177002,,,,,
1,5399,,13.853065490722656,,,,,
1,5449,,13.998634338378906,,,,,
1,5499,,14.656538963317871,,,,,
1,5549,,13.022751808166504,,,,,
1,5599,,14.501431465148926,,,,,
1,5649,,15.726356506347656,,,,,
1,5699,,13.142022132873535,,,,,
1,5749,,14.823291778564453,,,,,
1,5799,,15.15542221069336,,,,,
1,5849,,12.437042236328125,,,,,
1,5899,,11.32604694366455,,,,,
1,5945,,,6.958465099334717,0.39388981461524963,20.09881591796875,0.3528163731098175,6.958465099334717
1,5945,14.066187858581543,,,,,,
2,5949,,12.990344047546387,,,,,
2,5999,,14.901747703552246,,,,,
2,6049,,13.153958320617676,,,,,
2,6099,,12.287769317626953,,,,,
2,6149,,13.879460334777832,,,,,
2,6199,,13.6282377243042,,,,,
2,6249,,13.815722465515137,,,,,
2,6299,,14.49316692352295,,,,,
2,6349,,13.440593719482422,,,,,
2,6399,,13.242955207824707,,,,,
2,6449,,15.093091011047363,,,,,
2,6499,,13.7233247756958,,,,,
2,6549,,13.26539134979248,,,,,
2,6599,,14.06902027130127,,,,,
2,6649,,12.666605949401855,,,,,
2,6699,,14.563700675964355,,,,,
2,6749,,15.140530586242676,,,,,
2,6799,,11.50223159790039,,,,,
2,6849,,13.834134101867676,,,,,
2,6899,,10.552244186401367,,,,,
2,6949,,14.525368690490723,,,,,
2,6999,,13.639300346374512,,,,,
2,7049,,12.618317604064941,,,,,
2,7099,,12.858298301696777,,,,,
2,7149,,12.983756065368652,,,,,
2,7199,,15.534239768981934,,,,,
2,7249,,13.324299812316895,,,,,
2,7299,,15.913416862487793,,,,,
2,7349,,12.475163459777832,,,,,
2,7399,,14.726028442382812,,,,,
2,7449,,12.819310188293457,,,,,
2,7499,,12.818199157714844,,,,,
2,7549,,12.836532592773438,,,,,
2,7599,,11.587814331054688,,,,,
2,7649,,12.947470664978027,,,,,
2,7699,,11.187313079833984,,,,,
2,7749,,11.101425170898438,,,,,
2,7799,,13.225802421569824,,,,,
2,7849,,13.553740501403809,,,,,
2,7899,,14.486160278320312,,,,,
2,7949,,13.228861808776855,,,,,
2,7999,,15.7470064163208,,,,,
2,8049,,13.292147636413574,,,,,
2,8099,,11.162823677062988,,,,,
2,8149,,15.020611763000488,,,,,
2,8199,,10.90980052947998,,,,,
2,8249,,11.849472045898438,,,,,
2,8299,,12.638670921325684,,,,,
2,8349,,13.004043579101562,,,,,
2,8399,,11.974093437194824,,,,,
2,8449,,12.87369155883789,,,,,
2,8499,,12.542830467224121,,,,,
2,8549,,13.71433162689209,,,,,
2,8599,,10.80507755279541,,,,,
2,8649,,14.963973045349121,,,,,
2,8699,,12.53844165802002,,,,,
2,8749,,13.110309600830078,,,,,
2,8799,,13.041779518127441,,,,,
2,8849,,15.151860237121582,,,,,
2,8899,,14.290550231933594,,,,,
2,8918,,,6.084634304046631,0.3483361601829529,17.604965209960938,0.3331666886806488,6.084634304046631
2,8918,13.087196350097656,,,,,,
3,8949,,12.92074966430664,,,,,
3,8999,,14.190333366394043,,,,,
3,9049,,12.331746101379395,,,,,
3,9099,,12.795369148254395,,,,,
3,9149,,11.893101692199707,,,,,
3,9199,,10.699557304382324,,,,,
3,9249,,12.064188957214355,,,,,
3,9299,,13.05797290802002,,,,,
3,9349,,12.755271911621094,,,,,
3,9399,,13.903244972229004,,,,,
3,9449,,13.263839721679688,,,,,
3,9499,,12.906017303466797,,,,,
3,9549,,11.485359191894531,,,,,
3,9599,,11.438410758972168,,,,,
3,9649,,12.769828796386719,,,,,
3,9699,,15.1414794921875,,,,,
3,9749,,11.76757526397705,,,,,
3,9799,,12.199505805969238,,,,,
3,9849,,13.8601655960083,,,,,
3,9899,,10.662049293518066,,,,,
3,9949,,14.06396484375,,,,,
3,9999,,12.488335609436035,,,,,
3,10049,,12.255569458007812,,,,,
3,10099,,11.656524658203125,,,,,
3,10149,,14.465827941894531,,,,,
3,10199,,14.173361778259277,,,,,
3,10249,,12.305575370788574,,,,,
3,10299,,10.64682674407959,,,,,
3,10349,,13.986686706542969,,,,,
3,10399,,15.129405975341797,,,,,
3,10449,,10.900260925292969,,,,,
3,10499,,11.754173278808594,,,,,
3,10549,,11.259681701660156,,,,,
3,10599,,10.55750560760498,,,,,
3,10649,,12.618263244628906,,,,,
3,10699,,10.525019645690918,,,,,
3,10749,,12.803593635559082,,,,,
3,10799,,14.668728828430176,,,,,
3,10849,,11.372099876403809,,,,,
3,10899,,12.554157257080078,,,,,
3,10949,,11.985397338867188,,,,,
3,10999,,13.18282699584961,,,,,
3,11049,,11.75965404510498,,,,,
3,11099,,13.051795959472656,,,,,
3,11149,,12.942061424255371,,,,,
3,11199,,14.273497581481934,,,,,
3,11249,,11.46335220336914,,,,,
3,11299,,11.481684684753418,,,,,
3,11349,,12.608973503112793,,,,,
3,11399,,11.603336334228516,,,,,
3,11449,,13.069160461425781,,,,,
3,11499,,13.402763366699219,,,,,
3,11549,,14.31451416015625,,,,,
3,11599,,12.366728782653809,,,,,
3,11649,,13.01916217803955,,,,,
3,11699,,13.794937133789062,,,,,
3,11749,,12.03204345703125,,,,,
3,11799,,13.254803657531738,,,,,
3,11849,,11.120532035827637,,,,,
3,11891,,,5.906909465789795,0.3477226793766022,16.882915496826172,0.31900158524513245,5.906909465789795
3,11891,12.695904731750488,,,,,,
4,11899,,11.41530990600586,,,,,
4,11949,,12.125603675842285,,,,,
4,11999,,11.672904968261719,,,,,
4,12049,,11.896380424499512,,,,,
4,12099,,12.849324226379395,,,,,
4,12149,,12.460675239562988,,,,,
4,12199,,11.102836608886719,,,,,
4,12249,,9.886144638061523,,,,,
4,12299,,12.287144660949707,,,,,
4,12349,,12.320660591125488,,,,,
4,12399,,13.204045295715332,,,,,
4,12449,,12.732306480407715,,,,,
4,12499,,10.841583251953125,,,,,
4,12549,,11.502059936523438,,,,,
4,12599,,11.18077564239502,,,,,
4,12649,,14.32463550567627,,,,,
4,12699,,11.526808738708496,,,,,
4,12749,,13.63663101196289,,,,,
4,12799,,13.533831596374512,,,,,
4,12849,,11.37287425994873,,,,,
4,12899,,13.24982738494873,,,,,
4,12949,,13.75374698638916,,,,,
4,12999,,12.199050903320312,,,,,
4,13049,,13.438069343566895,,,,,
4,13099,,12.329485893249512,,,,,
4,13149,,12.806349754333496,,,,,
4,13199,,12.453892707824707,,,,,
4,13249,,10.468977928161621,,,,,
4,13299,,10.528605461120605,,,,,
4,13349,,12.584434509277344,,,,,
4,13399,,11.396477699279785,,,,,
4,13449,,13.311038970947266,,,,,
4,13499,,11.352900505065918,,,,,
4,13549,,12.62557601928711,,,,,
4,13599,,12.573641777038574,,,,,
4,13649,,14.127532005310059,,,,,
4,13699,,12.09366512298584,,,,,
4,13749,,14.032160758972168,,,,,
4,13799,,12.614048957824707,,,,,
4,13849,,12.00466537475586,,,,,
4,13899,,12.903663635253906,,,,,
4,13949,,12.275131225585938,,,,,
4,13999,,12.585993766784668,,,,,
4,14049,,12.693753242492676,,,,,
4,14099,,13.7378511428833,,,,,
4,14149,,12.512744903564453,,,,,
4,14199,,12.633357048034668,,,,,
4,14249,,12.659558296203613,,,,,
4,14299,,10.770594596862793,,,,,
4,14349,,12.4871826171875,,,,,
4,14399,,12.425392150878906,,,,,
4,14449,,9.903406143188477,,,,,
4,14499,,13.459834098815918,,,,,
4,14549,,11.444236755371094,,,,,
4,14599,,13.13986873626709,,,,,
4,14649,,12.746917724609375,,,,,
4,14699,,12.592381477355957,,,,,
4,14749,,12.5296630859375,,,,,
4,14799,,10.34743595123291,,,,,
4,14849,,12.977490425109863,,,,,
4,14864,,,5.459071636199951,0.3350055515766144,15.292407035827637,0.3102363049983978,5.459071636199951
4,14864,12.40871524810791,,,,,,
